split,stem,image_width,image_height,background_pixels,cat_pixels,dog_pixels,ignored_pixels,foreground_pixels,foreground_fraction,bbox_x1,bbox_y1,bbox_x2,bbox_y2,bbox_width,bbox_height,component_count,largest_component_pixels,present_classes,image_sha256,image_dhash,mask_sha256,quality_status
train,000000016206_4014,256,256,63783,0,1753,0,1753,0.0267486572265625,43,75,86,186,43,111,17,1722,dog,aafa5189b3b8461557b6d301da12fd70af22bb60682d2a6a67c0df37c0a8f856,7c6d75313526eccd,d46210f6933cea3dd19bd7e9cef0f13d7f160b3e0f70b62b79dad52f7f9fe9f2,ok
train,000000016823_4560,256,256,59766,5770,0,0,5770,0.088043212890625,119,74,216,160,97,86,1,5770,cat,4b41dc852f86e5f19c8222872a39b684ca265575860d6e03173355b6f1675f47,1e1d6723c7ec2e27,b34f6d32e40fd01197e98ba29247d984c32bc260d15bfddd531767a197276c48,ok
train,000000022129_2200,256,256,58297,7239,0,0,7239,0.1104583740234375,147,64,228,206,81,142,1,7239,cat,36b898e0a0881959d1dc0865400134729a33f0d0c9e9cf3dd151b6e66815f232,3e0e662d686ce4ce,bc59641072bd5a09a6e536e4168dc58216229404aae3050a3ce9b04dace1d555,ok
train,000000023511_6910,256,256,58321,7215,0,0,7215,0.1100921630859375,21,117,129,212,108,95,1,7215,cat,e608f61c6f8b6bdc2890e98cfded1851e3a89d52523b2870d2be2df575ed3850,9a9819315f585cce,702d6ba9730437e609ace4571cfe9d9cae47c1a94b5d0d7b65f758861dd5708b,ok
train,000000023731_404,256,256,64345,1191,0,0,1191,0.0181732177734375,160,140,194,204,34,64,1,1191,cat,25aa66ab364a9e117fefc2a895dec1cc66d9d128dfe0ae04160ba2f5a6f45f0a,c0c0c9c760707126,c3af35ef851f927355ffad8a676e7ee3b0b15691a113e80be1a524d3fabec61f,ok
train,000000024497_3808,256,256,60234,5302,0,0,5302,0.080902099609375,83,49,182,154,99,105,6,5287,cat,cf1ba9e23bfcb85d5467da8d5add8bef3338c79820a0614641fe57487a1824be,5cf8b393cce6e6e1,6ecc0dce4ebb46c3f5a1c695e0c5a2cccb66ab729d8d0ef5e79a8ce4b65fc17b,ok
train,000000025123_1462,256,256,55031,10505,0,0,10505,0.1602935791015625,51,69,142,233,91,164,1,10505,cat,4d939aca9cc1d7194b7fe0d658566fc7fa96d38077ac5f8762e3d32d05133b29,9911733a1b1b1b07,26633c81cd97b1157b30141a812bb82981a0864872a7b69fe00aa1c1482421fe,ok
train,000000026730_391,256,256,54696,0,10840,0,10840,0.1654052734375,47,69,208,230,161,161,1,10840,dog,52340df7db2f70b2e5848a24d0b5d73ea984cd08bc9c2d684674088648ad5c94,070299f8e0e02033,77410b1dc87da75e76132ffa414568c682d7500382a1cda6848ef0e1a8c831da,ok
train,000000028253_7169,256,256,65519,0,17,0,17,0.0002593994140625,33,117,38,122,5,5,1,17,dog,42799d88d562b67864ad214d00139b632037432299dbd436e85d77c17f57df0b,d2320653711e3821,6e0fa2fc6a92884341f88e7f669748b507bc053cf46f53b792cd7723a752c4fd,remove_broken_mask
train,000000030752_6513,256,256,60418,0,5118,0,5118,0.078094482421875,38,117,125,220,87,103,2,5117,dog,1dc5e23f3252dd3683cb0f6e3d18f189297bd5be5099e3a31047bdff7eb4530c,90b0e090b8b830e0,a4beabd30dc544548f29a81c3037270ef537374db4a7e6fc535f1866a0eaaf13,ok
train,000000031865_4082,256,256,49994,15542,0,0,15542,0.237152099609375,29,30,202,194,173,164,1,15542,cat,0b0e74559910679410af5d1b7ad70525e03e673f5a3a083b3a7a8abfb21bd73b,60383e0783839126,4d92bbe4289b098f4d2802f7823640b07ee81647938eb41a89afa53e19e2a08c,ok
train,000000034825_4369,256,256,60277,5259,0,0,5259,0.0802459716796875,45,45,136,134,91,89,2,5258,cat,55492d20a1e2475273f7987b9893fcec24799bb0b1ed191b3d37fd0feb1c900a,5a1c180808150cc9,48531976372f665344dbbee0b008ac3686e3efbf48d119099f332f31de032bf3,ok
train,000000036962_1585,256,256,52246,13290,0,0,13290,0.202789306640625,76,38,231,211,155,173,1,13290,cat,9710751539f87b7b1dc1e7c362568b6d2b7bbb61051d960aebe9d31af0dc4bdd,b8a383894161e1e3,570937daae2b0c056101ba1b76e21e8ee6d3ebea8572b227a46cd7a98243c84c,ok
train,000000037477_5033,256,256,57955,7581,0,0,7581,0.1156768798828125,89,53,210,163,121,110,1,7581,cat,d0148910199e327348c9b6eb9550c0a5b3488a329496f4715507b78eb37ff1d5,5f4647c7c7ce6849,cd8bdd5782c6e04a53ef006f2f58f61a86184a8a282a95cbe4fb849d67e22789,ok
train,000000040466_5639,256,256,59760,0,5776,0,5776,0.088134765625,88,90,157,197,69,107,1,5776,dog,63adef3db983c77e2797f7884b91b3703f5d109c9d66a87f766b114c7cbba06a,6464e41420708800,3bbbd11bce6355d8c287c9481cee57ddbaa981d33e73b8f17eb847765af6702c,ok
train,000000042956_1334,256,256,55551,9985,0,0,9985,0.1523590087890625,56,78,194,189,138,111,1,9985,cat,b1e21751697beb808c54e607287e3693050d865bb2961d5bf593171d615757fd,9090b07071e4c8f0,2863e056c33f5c5af676b4e9922f91ed528111e5494267491f4eceb9af9653d3,ok
train,000000045040_1484,256,256,64090,0,1446,0,1446,0.022064208984375,91,127,186,166,95,39,1,1446,dog,8f7fd365a35f271151a635a9e28f807d8ae6dd2ff8439e7c85e18a6dedddbe61,410307d607078448,1135b8ebb1388986c1569462d6cf22c56dd304c39ea2e834a8cf3079cd328e09,ok
train,000000045587_1711,256,256,64178,0,1358,0,1358,0.020721435546875,169,134,228,173,59,39,1,1358,dog,6f5bb439f8ebe6659763a72cdb038da65e5bdb7ffbc2ecb84b7354c3e68df663,4669310ee33d20bb,b9cb7dbdbff12b92e3d9c71413f7d7d2deb617c39b28bdc5c1fc2112dbf732d1,ok
train,000000045771_4704,256,256,55205,10331,0,0,10331,0.1576385498046875,77,62,202,224,125,162,1,10331,cat,7b196861442a63a3abb17bbbc7845bc4d2c5bb4ad52587612f2724fe947ed673,3254f2f96ce6e6c6,7517c40a65c1adc08a16b219957992cd3f530a15e6abaae88b6d9c6cb8d7503d,ok
train,000000046230_7013,256,256,61774,0,3762,0,3762,0.057403564453125,36,67,147,135,111,68,1,3762,dog,cdc56613e4b9971e9ef702ef650dbcf78826576e812a7e8b4672f00433c7cfe1,769e3d391868f98b,62edc086f30afe83d2a56fd21b1ce28ae7b2624889f3199f905062fb3224fc6f,ok
